"","Nombre","Equipo & Posicion","Peso","Altura","Nacionalidad","Juegos Jugados","Juegos Titular","Goles","Autogoles","Minutos Jugados","Tarjetas Amarillas","Tarjetas Rojas"
"115","Roger Beyker Martínez Tobinson","Delantero en América (LIGA MX) para Apertura 2018 - Clausura 2023","86 kg","1.8","Colombiano","2",NA,NA,"0","40",NA,NA
"116","Giovani Dos Santos Ramírez","Delantero en América (LIGA MX) para Apertura 2019 - Clausura 2021","75 kg","1.75","Mexicano","8","7",NA,"0","569","1",NA
"117","Nicolás Ignacio Castillo Mora","Delantero en América (LIGA MX) para Clausura 2019 - Apertura 2022","81 kg","1.79","Chileno","1",NA,NA,"0","15",NA,NA
"118","Henry Josué Martín Mex","Delantero en América (LIGA MX) para Apertura 2019 - Apertura 2021","73.3 kg","1.77","Mexicano","8","7","2","0","617","1",NA
"119","Federico Sebastián Viñas Barboza","Delantero en América (LIGA MX) para Apertura 2019 - Clausura 2020","80 kg","1.8","Uruguayo","5","4","3","0","332","1",NA
"120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Raúl Manolo Gudiño Vega","Portero en Guadalajara (LIGA MX) para Apertura 2018 - Clausura 2021","91.9 kg","1.96","Mexicano",NA,NA,NA,"0",NA,NA,NA
"136","José Antonio Rodríguez Romero","Portero en Guadalajara (LIGA MX) para Apertura 2019 - Clausura 2023","86 kg","1.86","Mexicano","10","10",NA,"0","900","1",NA
"137","Antonio Ignacio Torres Carrillo","Portero en Guadalajara (LIGA MX)","83 kg","1.89","Mexicano",NA,NA,NA,"0",NA,NA,NA
"138","Cristian Yonathan Calderón Del Real","Defensa en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2020","66 kg","1.77","Mexicano","4","2",NA,"0","229","1",NA
"139","Antonio Briseño Vázquez","Defensa en Guadalajara (LIGA MX) para Apertura 2019 - Clausura 2023","81.1 kg","1.85","Mexicano","4","2",NA,"0","263",NA,NA
"140","Miguel Ángel Ponce Briseño","Defensa Lateral en Guadalajara (LIGA MX) para Apertura 2018 - Apertura 2021","83 kg","1.76","Mexicano","9","9",NA,"0","810","2",NA
"141","Jesús Enrique Sánchez García","Defensa Lateral en Guadalajara (LIGA MX) para Apertura 2018 - Apertura 2022","67.5 kg","1.68","Mexicano","7","7",NA,"0","575","2",NA
"142","Hiram Ricardo Mier Alanís","Defensa en Guadalajara (LIGA MX) para Clausura 2019 - Apertura 2021","73.7 kg","1.82","Mexicano","10","10",NA,"0","840","1",NA
"143","José Antonio Madueña López","Defensa Lateral en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2022","66.7 kg","1.73","Mexicano","3","2",NA,"0","205",NA,NA
"144","Alexis Francisco Peña López","Defensa Central en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2020","82.3 kg","1.86","Mexicano",NA,NA,NA,"0",NA,NA,NA
"145","Gilberto Sepúlveda López","Defensa en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2021","77.9 kg","1.82","Mexicano","8","8",NA,"0","720","2",NA
"146","Dieter Daniel Villalpando Pérez","Medio Ofensivo en Guadalajara (LIGA MX) para Clausura 2019 - Apertura 2021","70.9 kg","1.71","Mexicano","4","1",NA,"0","128",NA,NA
"147","Javier Eduardo López Ramírez","Medio Ofensivo en Guadalajara (LIGA MX) para Apertura 2018 - Apertura 2020","66.6 kg","1.67","Mexicano","8","6","2","0","463",NA,NA
"148","Isaác Brizuela Muñóz","Medio Ofensivo en Guadalajara (LIGA MX) para Apertura 2018 - Apertura 2022","65.6 kg","1.71","Mexicano","10","8",NA,"0","715","1",NA
"149","Carlos Uriel Antuna Romero","Medio Ofensivo en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2023","61 kg","1.74","Mexicano","9","7",NA,"0","645",NA,NA
"150","Jesús Ricardo Angulo Uriarte","Medio Ofensivo en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2020","62.3 kg","1.72","Mexicano","7","1",NA,"0","178",NA,NA
"151","Jesús Antonio Molina Granados","Medio en Guadalajara (LIGA MX) para Clausura 2019 - Clausura 2020","77 kg","1.86","Mexicano","10","10","2","0","850","4",NA
"152","José Juan Vázquez Gómez","Medio en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2021","63 kg","1.66","Mexicano","4",NA,NA,"0","101",NA,NA
"153","Fernando Beltrán Cruz","Medio en Guadalajara (LIGA MX) para Apertura 2019 - Apertura 2023","64 kg","1.63","Mexicano","10","10","2","0","824","4",NA
"154","Alejandro Zendejas Saavedra","Medio Ofensivo en Guadalajara (LIGA MX)","63.5 kg","1.65","Mexicano",NA,NA,NA,"0",NA,NA,NA
"155","Ernesto Alexis Vega Rojas","Delantero en Guadalajara (LIGA MX) para Clausura 2019 - Apertura 2022","77.3 kg","1.73","Mexicano","7","7","2","0","502","1","1"
"156","José Juan Macías Guzmán","Delantero en Guadalajara (LIGA MX) para Clausura 2020 - Clausura 2022","76 kg","1.78","Mexicano","8","7","4","0","616",NA,NA
"157","Ronaldo Cisneros Morell","Delantero en Guadalajara (LIGA MX) para Clausura 2020 - Apertura 2021","74 kg","1.8","Mexicano","4","2",NA,"0","138","1","1"
"158","Oribe Peralta Morones","Delantero en Guadalajara (LIGA MX) para Apertura 2019 - Apertura 2021","71.7 kg","1.78","Mexicano","2","1","1","0","112","1",NA
"159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Alfredo Saldívar Medina","Portero en PUMAS (LIGA MX)","78 kg","1.83","Mexicano","10","10",NA,"0","900","1",NA
"170","Julio José González Vela Alvizu","Portero en PUMAS (LIGA MX) para Clausura 2020","82 kg","1.83","Mexicano",NA,NA,NA,"0",NA,NA,NA
"171","Rodrigo Alejandro Cerecedo Cabrera","Portero en PUMAS (LIGA MX) para Clausura 2020 - Clausura 2021","71 kg","1.81","Mexicano",NA,NA,NA,"0",NA,NA,NA
"172","Alan Mozo Rodríguez","Defensa Lateral en PUMAS (LIGA MX)","71 kg","1.75","Mexicano","10","10",NA,"0","888","3",NA
"173","Luis Fernando Quintana Vega","Defensa Central en PUMAS (LIGA MX)","75.7 kg","1.8","Mexicano","9","9","1","0","765","2","1"
"174","Johan Felipe Vásquez Ibarra","Defensa Central en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2021","72.1 kg","1.85","Mexicano","10","10","1","0","900","5",NA
"175","Jerónimo Rodríguez Guemes","Defensa Lateral en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2021","61.2 kg","1.77","Mexicano",NA,NA,NA,"0",NA,NA,NA
"176","Nicolás Omar Freire ","Defensa Central en PUMAS (LIGA MX) para Apertura 2019 - Clausura 2022","82.2 kg","1.87","Argentino","2","1","1","0","125","1",NA
"177","Manuel Alejandro Mayorga Almaráz","Defensa Lateral en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2020","69 kg","1.78","Mexicano","10","10",NA,"0","810","4",NA
"178","Diego Jonathan Rodríguez Miranda","Defensa en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2020","75.8 kg","1.75","Mexicano",NA,NA,NA,"0",NA,NA,NA
"179","David Cabrera Pujol","Medio Defensivo en PUMAS (LIGA MX) para Apertura 2018 - Clausura 2021","75.1 kg","1.8","Mexicano",NA,NA,NA,"0",NA,NA,NA
"180","Andrés Iniestra Vázquez Mellado","Medio Defensivo en PUMAS (LIGA MX)","78.8 kg","1.77","Mexicano","9","9","1","0","810","1",NA
"181","Víctor Ignacio Malcorra ","Medio en PUMAS (LIGA MX)","74 kg","1.7","Mexicano","8","2","1","0","355",NA,NA
"182","Leonel López González","Medio Ofensivo en PUMAS (LIGA MX) para Clausura 2020 - Apertura 2021","68 kg","1.7","Mexicano","4","1",NA,"0","170","1",NA
