"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"324",324,"Emanuel Gularte Méndez","Puebla F.C. ",83,1.89,"Uruguayo",0,0,0,0,0,0
"325",325,"Néstor Vicente Vidrio Serrano","Puebla F.C. ",77,1.82,"Mexicano",0,0,0,0,0,0
"326",326,"Alejandro Saúl Chumacero Bracamonte","Puebla F.C. ",63,1.64,"Boliviano",7,3,0,208,0,0
"327",327,"Javier Alván  Salas Salazar","Puebla F.C. ",73,1.83,"Mexicano",9,9,0,810,2,1
"328",328,"Pablo González Díaz","Puebla F.C. ",71.8,1.74,"Mexicano",8,6,0,563,1,1
"329",329,"Osvaldo David Martínez Arce","Puebla F.C. ",72,1.66,"Mexicano",10,8,1,683,2,0
"330",330,"Jorge Jonathan Espericueta Escamilla","Puebla F.C. ",73,1.78,"Mexicano",0,0,0,0,0,0
"331",331,"Jesús Eduardo Zavala Castañeda","Puebla F.C. ",87.5,1.9,"Mexicano",8,8,0,693,2,0
"332",332,"Christian Camilo Marrugo Rodríguez","Puebla F.C. ",74.8,1.75,"Colombiano",6,3,0,322,2,0
"333",333,"Jorge Alejandro Zárate Careaga","Puebla F.C. ",64,1.67,"Mexicano",1,0,0,19,0,0
"334",334,"Salvador Reyes Chávez","Puebla F.C. ",70,1.74,"Mexicano",8,7,0,629,1,0
"335",335,"Alan Jesús Acosta Montañez","Puebla F.C. ",73,1.78,"Mexicano",9,2,0,358,0,0
